Completed Date;Reference;Paid Out (EUR);Paid In (EUR);Exchange Out;Exchange In; Balance (EUR);Category
2018 October 25;La Maree;118.00;;;; 4'010.49;restaurants
2018 October 25;Cash at Ce Cote D Azur;50.00;;;; 4'128.49;cash
2018 October 25;MONOPRIX;44.97;;;; 4'178.49;shopping
2018 October 25;Le Cosmo;77.80;;;; 4'223.46;restaurants
2018 October 24;Au Bon Coin;2.50;;;; 4'301.26;services
2018 October 24;Cash at Ce Cote D Azur;61.21;;;; 4'303.76;cash
2018 October 23;Villa D'este;77.50;;;; 4'364.97;restaurants
2018 October 23;Monop';38.73;;;; 4'442.47;groceries
2018 October 22;Safari Nice;91.00;;;; 4'481.20;restaurants
2018 October 22;Bistrot Antoine;72.80;;;; 4'572.20;restaurants
2018 October 19;kaigai stay à Nice;14.80;;;; 4'645.00;transport
2018 October 19;Les Palmiers;75.60;;;; 4'659.80;restaurants
2018 October 19;Amazon;679.90;;;; 4'735.40;shopping
2018 October 18;Nice Carrefour Market Pessicart;190.51;;;; 5'415.30;groceries
2018 October 18;Ca' Borghino;206.00;;;; 5'605.81;travel
2018 October 18;Azienda Agricola Sylla;318.00;;;; 5'811.81;groceries
2018 October 18;Autost Mondovi';21.20;;;; 6'129.81;transport
2018 October 17;Nuova Sidap Srl 9201 O;32.70;;;; 6'151.01;transport
2018 October 17;Nuova Sidap Srl 9201 M;81.33;;;; 6'183.71;groceries
2018 October 17;La Salita Sas;50.00;;;; 6'265.04;restaurants
2018 October 17;Icebreaker_eu;625.66;;;; 6'315.04;shopping
2018 October 17;Cash at Bcc Alba Langhe Roero;250.20;;;; 6'940.70;cash
2018 October 17;Il Forno Di Bosio Snc;16.90;;;; 7'190.90;groceries
2018 October 17;Autost Direz. Uscita;1.90;;;; 7'207.80;transport
2018 October 17;Ristorante Al Castello;175.00;;;; 7'209.70;restaurants
2018 October 17;Enoteca Regionale Piem;51.00;;;; 7'384.70;restaurants
2018 October 17;Libreria San Paolo;21.00;;;; 7'435.70;shopping
2018 October 16;Refund from Leroy Merlin Fr;; 201.24;;; 7'456.70;general
2018 October 16;Refund from Leroy Merlin Fr;; 18.31;;; 7'255.46;general
2018 October 16;Casa Scaparone Agritur;80.00;;;; 7'237.15;travel
2018 October 16;Autost Aosta-g.s.bern.;16.80;;;; 7'317.15;transport
2018 October 15;Leroy Merlin Thoiry;87.70;;;; 7'333.95;utilities
2018 October 15;Seiler Sarl;7.90;;;; 7'421.65;groceries
2018 October 15;Amazon;659.00;;;; 7'429.55;shopping
2018 October 12;To Charlotte Tengelin;4'000.00;;;; 8'088.55;transfers
2018 October 12;Payment from Martin Alexander Tengelin Et/ou;; 8'000.00;;; 12'088.55;general
2018 October 4;Leroy Merlin Annemasse - Ville-La-Grand;194.35;;;; 4'088.55;utilities
2018 October 4;Leroy Merlin Annemasse - Ville-La-Grand;120.58;;;; 4'282.90;utilities
2018 October 1;Aéroport Nice Côte d'Azur Jamié's Deli;13.40;;;; 4'403.48;restaurants
2018 October 1;Relay 373548px;9.30;;;; 4'416.88;shopping
2018 October 1;La Petite Maison;321.00;;;; 4'426.18;restaurants
2018 October 1;Uber B.V.;12.92;;;; 4'747.18;transport
2018 October 1;Uber B.V.;1.00;;;; 4'760.10;transport
2018 October 1;Uber B.V.;19.05;;;; 4'761.10;transport
2018 October 1;Spalato;39.00;;;; 4'780.15;restaurants
2018 October 1;Petit Casino;58.19;;;; 4'819.15;groceries
2018 September 30;From Esbjörn Johansson;; 91.00;;; 4'877.34;transfers
2018 September 28;Cash at Nice Côte d'Azur Airport;110.00;;;; 4'786.34;cash
2018 September 14;Leroy Merlin Thoiry;42.94;;;; 4'896.34;utilities
2018 September 3;Fort De Tamie;11.00;;;; 4'939.28;entertainment
2018 September 3;Sakura House;50.10;;;; 4'950.28;restaurants
2018 August 27;To Charlotte Tengelin;5'000.00;;;; 5'000.38;transfers
2018 August 27;Payment from Martin Alexander Tengelin Et/ou;; 10'000.00;;; 10'000.38;general
2018 May 16;Parking Automate;3.50;;;; 0.38;general
2018 May 15;Parking Automate;5.20;;;; 3.88;general
2018 May 14;Parking Automate;7.10;;;; 9.08;general
2018 May 12;To Vacation savings;0.80;;CHF  0.95;; 16.18;general
2018 May 10;To Vacation savings;0.90;;CHF  1.07;; 16.98;general
2018 April 5;Sbb Cff Ffs Mobile Tic;3.83;;CHF 4.50;; 17.88;transport
2018 April 4;Hotel Welcome Et;36.00;;;; 21.71;travel
2018 April 4;La Voile D'azur;89.00;;;; 57.71;restaurants
2018 April 2;Exchanged from JPY;; 0.85;;JPY 112; 146.71;general
2018 April 2;Exchanged from SEK;; 97.26;;SEK 1'001.00; 145.86;general
2018 March 31;Exchanged from SEK;; 48.60;;SEK 503.56; 48.60;general
2017 November 22;Green Gorilla;17.09;;CHF 19.90;; 0.00;restaurants
2017 November 22;Cash at Br Nyon;17.17;;CHF 20.00;; 17.09;cash
2017 November 21;Exchanged to CHF;21.68;;CHF  25.24;; 34.26;general
2017 November 20;Exchanged to CHF;17.17;;CHF  20.00;; 55.94;general
2017 November 17;Microsoft;17.93;;GBP 15.99;; 73.11;entertainment
2017 November 16;Exchanged to GBP;8.96;;GBP  7.99;; 91.04;general
2017 November 16;Payment from Martin Alexander Tengelin Et/ou;; 100.00;;; 100.00;general
